Paper ID,Location ,Product ,Metric, Value
122,Ethiopia,CHRIPS,CC,0.36
126,"Central highlands of Abbay Basin, Ethiopia",IMERG-06,CC,0.85
126,"Central highlands of Abbay Basin, Ethiopia",CHIRPSv2,CC,0.88
126,"Central highlands of Abbay Basin, Ethiopia",PERSIANN-CCS,CC,0.78
126,"Central highlands of Abbay Basin, Ethiopia",CMORPH,CC,0.86
131,"Nasia River Basin, Ghana",RFE 2.0,CC,0.36
26,Ruga,CHIRPS,CC,0.38
26,Ruga,TAMSAT,CC,0.50
26,Haik,CHIRPS,CC,0.40
26,Haik,TAMSAT,CC,0.51
26,Dessie,CHIRPS,CC,0.42
26,Dessie,TAMSAT,CC,0.52
26,Kutaber,CHIRPS,CC,0.43
26,Kutaber,TAMSAT,CC,0.59
134,"Central Africa (overall) — all data, full period",CHIRPS,CC,0.33
134,"Central Africa (overall) — all data, full period",ARC,CC,0.42
134,"Central Africa (overall) — all data, full period",TARCAT,CC,0.43
134,"Central Africa (overall) — all data, full period",PERSIANN,CC,0.40
134,"Central Africa (overall) — all data, full period",TMPA,CC,0.48
134,"Central Africa (overall) — all data, full period",CMORPH,CC,0.45
134,"Central Africa (overall) — all data, full period",TAPEER,CC,0.40
134,"Central Africa (overall) — all data, 2011–14",CHIRPS,CC,0.34
134,"Central Africa (overall) — all data, 2011–14",ARC,CC,0.60
134,"Central Africa (overall) — all data, 2011–14",TARCAT,CC,0.45
134,"Central Africa (overall) — all data, 2011–14",PERSIANN,CC,0.40
134,"Central Africa (overall) — all data, 2011–14",CMORPH,CC,0.48
134,"Central Africa (overall) — all data, 2011–14",TAPEER,CC,0.42
134,"Central Africa (overall) — independent data, full period",CHIRPS,CC,0.32
134,"Central Africa (overall) — independent data, full period",ARC,CC,0.30
134,"Central Africa (overall) — independent data, full period",TARCAT,CC,0.45
134,"Central Africa (overall) — independent data, full period",PERSIANN,CC,0.40
134,"Central Africa (overall) — independent data, full period",TMPA,CC,0.48
134,"Central Africa (overall) — independent data, full period",CMORPH,CC,0.46
134,"Central Africa (overall) — independent data, full period",TAPEER,CC,0.41
134,CAR,CHIRPS,CC,0.36
134,CAR,ARC,CC,0.43
134,CAR,TARCAT,CC,0.49
134,CAR,PERSIANN,CC,0.44
134,CAR,TMPA,CC,0.64
134,CAR,CMORPH,CC,0.56
134,Southern Congo-Brazzaville,CHIRPS,CC,0.30
134,Southern Congo-Brazzaville,ARC,CC,0.35
134,Southern Congo-Brazzaville,TARCAT,CC,0.38
134,Southern Congo-Brazzaville,PERSIANN,CC,0.36
134,Southern Congo-Brazzaville,TMPA,CC,0.58
134,Southern Congo-Brazzaville,CMORPH,CC,0.54
134,Southern Congo-Brazzaville,TAPEER,CC,0.50
134,Central DRC,CHIRPS,CC,0.28
134,Central DRC,ARC,CC,0.38
134,Central DRC,TARCAT,CC,0.49
134,Central DRC,PERSIANN,CC,0.40
134,Eastern DRC,CHIRPS,CC,0.30
134,Eastern DRC,ARC,CC,0.37
134,Eastern DRC,TARCAT,CC,0.31
134,Eastern DRC,PERSIANN,CC,0.35
134,Eastern DRC,TMPA,CC,0.44
134,Eastern DRC,CMORPH,CC,0.44
134,Eastern DRC,TAPEER,CC,0.47
134,POKOLA,CHIRPS,CC,0.39
134,POKOLA,ARC,CC,0.53
134,POKOLA,TARCAT,CC,0.57
134,POKOLA,PERSIANN,CC,0.46
134,POKOLA,CMORPH,CC,0.53
134,POKOLA,TAPEER,CC,0.59
134,MOKABI,CHIRPS,CC,0.44
134,MOKABI,ARC,CC,0.58
134,MOKABI,TARCAT,CC,0.67
134,MOKABI,PERSIANN,CC,0.46
134,MOKABI,CMORPH,CC,0.61
134,MOKABI,TAPEER,CC,0.58
134,TSHIVANGA,CHIRPS,CC,0.46
134,TSHIVANGA,ARC,CC,0.46
134,TSHIVANGA,TARCAT,CC,0.33
134,TSHIVANGA,PERSIANN,CC,0.55
134,TSHIVANGA,CMORPH,CC,0.56
134,TSHIVANGA,TAPEER,CC,0.49
134,MATANDA,CHIRPS,CC,0.33
134,MATANDA,ARC,CC,0.40
134,MATANDA,TARCAT,CC,0.28
134,MATANDA,PERSIANN,CC,0.39
134,MATANDA,CMORPH,CC,0.44
134,MATANDA,TAPEER,CC,0.49
134,IDJWI,CHIRPS,CC,0.44
134,IDJWI,ARC,CC,0.51
134,IDJWI,TARCAT,CC,0.44
134,IDJWI,PERSIANN,CC,0.47
134,IDJWI,CMORPH,CC,0.52
134,IDJWI,TAPEER,CC,0.47
134,BAKOUMBA,CHIRPS,CC,0.44
134,BAKOUMBA,ARC,CC,0.53
134,BAKOUMBA,TARCAT,CC,0.60
134,BAKOUMBA,PERSIANN,CC,0.51
134,BAKOUMBA,TMPA,CC,0.72
134,BAKOUMBA,CMORPH,CC,0.59
134,BAKOUMBA,TAPEER,CC,0.55
134,KINSHASA/BINZA,CHIRPS,CC,0.49
134,KINSHASA/BINZA,ARC,CC,0.71
